t_s,hour,pred_next_total_req_kw,capacity_kw,total_req_kw,total_served_kw,total_unmet_kw,total_flex_req_kw,total_flex_served_kw,total_flex_unmet_kw,hospital_req_kw,hospital_served_kw,hospital_unmet_kw,hospital_flex_req_kw,hospital_flex_served_kw,hospital_flex_unmet_kw,residential_req_kw,residential_served_kw,residential_unmet_kw,residential_flex_req_kw,residential_flex_served_kw,residential_flex_unmet_kw,commercial_req_kw,commercial_served_kw,commercial_unmet_kw,commercial_flex_req_kw,commercial_flex_served_kw,commercial_flex_unmet_kw,industrial_req_kw,industrial_served_kw,industrial_unmet_kw,industrial_flex_req_kw,industrial_flex_served_kw,industrial_flex_unmet_kw
1320,6,,600.0,610.0,600.0,10.0,235.0,0.0,235.0,220.0,220.0,0.0,35.0,0.0,35.0,160.0,160.0,0.0,80.0,0.0,80.0,140.0,140.0,0.0,65.0,0.0,65.0,90.0,80.0,10.0,55.0,0.0,55.0
1380,6,,600.0,610.0,600.0,10.0,235.0,0.0,235.0,220.0,220.0,0.0,35.0,0.0,35.0,160.0,160.0,0.0,80.0,0.0,80.0,140.0,140.0,0.0,65.0,0.0,65.0,90.0,80.0,10.0,55.0,0.0,55.0
1440,6,,600.0,610.0,600.0,10.0,235.0,0.0,235.0,220.0,220.0,0.0,35.0,0.0,35.0,160.0,160.0,0.0,80.0,0.0,80.0,140.0,140.0,0.0,65.0,0.0,65.0,90.0,80.0,10.0,55.0,0.0,55.0
1500,6,,600.0,610.0,600.0,10.0,235.0,0.0,235.0,220.0,220.0,0.0,35.0,0.0,35.0,160.0,160.0,0.0,80.0,0.0,80.0,140.0,140.0,0.0,65.0,0.0,65.0,90.0,80.0,10.0,55.0,0.0,55.0
1560,6,,600.0,610.0,600.0,10.0,235.0,0.0,235.0,220.0,220.0,0.0,35.0,0.0,35.0,160.0,160.0,0.0,80.0,0.0,80.0,140.0,140.0,0.0,65.0,0.0,65.0,90.0,80.0,10.0,55.0,0.0,55.0
1620,6,,600.0,610.0,600.0,10.0,235.0,0.0,235.0,220.0,220.0,0.0,35.0,0.0,35.0,160.0,160.0,0.0,80.0,0.0,80.0,140.0,140.0,0.0,65.0,0.0,65.0,90.0,80.0,10.0,55.0,0.0,55.0
1680,6,,600.0,610.0,600.0,10.0,235.0,0.0,235.0,220.0,220.0,0.0,35.0,0.0,35.0,160.0,160.0,0.0,80.0,0.0,80.0,140.0,140.0,0.0,65.0,0.0,65.0,90.0,80.0,10.0,55.0,0.0,55.0
1740,6,,600.0,610.0,600.0,10.0,235.0,0.0,235.0,220.0,220.0,0.0,35.0,0.0,35.0,160.0,160.0,0.0,80.0,0.0,80.0,140.0,140.0,0.0,65.0,0.0,65.0,90.0,80.0,10.0,55.0,0.0,55.0
1800,6,,600.0,610.0,600.0,10.0,235.0,0.0,235.0,220.0,220.0,0.0,35.0,0.0,35.0,160.0,160.0,0.0,80.0,0.0,80.0,140.0,140.0,0.0,65.0,0.0,65.0,90.0,80.0,10.0,55.0,0.0,55.0
1860,6,,600.0,610.0,600.0,10.0,235.0,0.0,235.0,220.0,220.0,0.0,35.0,0.0,35.0,160.0,160.0,0.0,80.0,0.0,80.0,140.0,140.0,0.0,65.0,0.0,65.0,90.0,80.0,10.0,55.0,0.0,55.0
1920,6,,600.0,610.0,600.0,10.0,235.0,0.0,235.0,220.0,220.0,0.0,35.0,0.0,35.0,160.0,160.0,0.0,80.0,0.0,80.0,140.0,140.0,0.0,65.0,0.0,65.0,90.0,80.0,10.0,55.0,0.0,55.0
1980,6,,600.0,610.0,600.0,10.0,235.0,0.0,235.0,220.0,220.0,0.0,35.0,0.0,35.0,160.0,160.0,0.0,80.0,0.0,80.0,140.0,140.0,0.0,65.0,0.0,65.0,90.0,80.0,10.0,55.0,0.0,55.0
2040,6,,600.0,610.0,600.0,10.0,235.0,0.0,235.0,220.0,220.0,0.0,35.0,0.0,35.0,160.0,160.0,0.0,80.0,0.0,80.0,140.0,140.0,0.0,65.0,0.0,65.0,90.0,80.0,10.0,55.0,0.0,55.0
2100,6,,600.0,610.0,600.0,10.0,235.0,0.0,235.0,220.0,220.0,0.0,35.0,0.0,35.0,160.0,160.0,0.0,80.0,0.0,80.0,140.0,140.0,0.0,65.0,0.0,65.0,90.0,80.0,10.0,55.0,0.0,55.0
2160,6,,600.0,610.0,600.0,10.0,235.0,0.0,235.0,220.0,220.0,0.0,35.0,0.0,35.0,160.0,160.0,0.0,80.0,0.0,80.0,140.0,140.0,0.0,65.0,0.0,65.0,90.0,80.0,10.0,55.0,0.0,55.0
2220,6,,600.0,610.0,600.0,10.0,235.0,0.0,235.0,220.0,220.0,0.0,35.0,0.0,35.0,160.0,160.0,0.0,80.0,0.0,80.0,140.0,140.0,0.0,65.0,0.0,65.0,90.0,80.0,10.0,55.0,0.0,55.0
2280,6,,600.0,610.0,600.0,10.0,235.0,0.0,235.0,220.0,220.0,0.0,35.0,0.0,35.0,160.0,160.0,0.0,80.0,0.0,80.0,140.0,140.0,0.0,65.0,0.0,65.0,90.0,80.0,10.0,55.0,0.0,55.0
2340,6,,600.0,610.0,600.0,10.0,235.0,0.0,235.0,220.0,220.0,0.0,35.0,0.0,35.0,160.0,160.0,0.0,80.0,0.0,80.0,140.0,140.0,0.0,65.0,0.0,65.0,90.0,80.0,10.0,55.0,0.0,55.0
2400,6,,600.0,610.0,600.0,10.0,235.0,0.0,235.0,220.0,220.0,0.0,35.0,0.0,35.0,160.0,160.0,0.0,80.0,0.0,80.0,140.0,140.0,0.0,65.0,0.0,65.0,90.0,80.0,10.0,55.0,0.0,55.0
2460,6,,600.0,610.0,600.0,10.0,235.0,0.0,235.0,220.0,220.0,0.0,35.0,0.0,35.0,160.0,160.0,0.0,80.0,0.0,80.0,140.0,140.0,0.0,65.0,0.0,65.0,90.0,80.0,10.0,55.0,0.0,55.0
2520,6,,600.0,610.0,600.0,10.0,235.0,0.0,235.0,220.0,220.0,0.0,35.0,0.0,35.0,160.0,160.0,0.0,80.0,0.0,80.0,140.0,140.0,0.0,65.0,0.0,65.0,90.0,80.0,10.0,55.0,0.0,55.0
2580,6,,600.0,610.0,600.0,10.0,235.0,0.0,235.0,220.0,220.0,0.0,35.0,0.0,35.0,160.0,160.0,0.0,80.0,0.0,80.0,140.0,140.0,0.0,65.0,0.0,65.0,90.0,80.0,10.0,55.0,0.0,55.0
2640,6,,600.0,610.0,600.0,10.0,235.0,0.0,235.0,220.0,220.0,0.0,35.0,0.0,35.0,160.0,160.0,0.0,80.0,0.0,80.0,140.0,140.0,0.0,65.0,0.0,65.0,90.0,80.0,10.0,55.0,0.0,55.0
2700,6,,600.0,610.0,600.0,10.0,235.0,0.0,235.0,220.0,220.0,0.0,35.0,0.0,35.0,160.0,160.0,0.0,80.0,0.0,80.0,140.0,140.0,0.0,65.0,0.0,65.0,90.0,80.0,10.0,55.0,0.0,55.0
2760,6,,600.0,610.0,600.0,10.0,235.0,0.0,235.0,220.0,220.0,0.0,35.0,0.0,35.0,160.0,160.0,0.0,80.0,0.0,80.0,140.0,140.0,0.0,65.0,0.0,65.0,90.0,80.0,10.0,55.0,0.0,55.0
2820,6,,600.0,610.0,600.0,10.0,235.0,0.0,235.0,220.0,220.0,0.0,35.0,0.0,35.0,160.0,160.0,0.0,80.0,0.0,80.0,140.0,140.0,0.0,65.0,0.0,65.0,90.0,80.0,10.0,55.0,0.0,55.0
2880,6,,600.0,610.0,600.0,10.0,235.0,0.0,235.0,220.0,220.0,0.0,35.0,0.0,35.0,160.0,160.0,0.0,80.0,0.0,80.0,140.0,140.0,0.0,65.0,0.0,65.0,90.0,80.0,10.0,55.0,0.0,55.0
2940,6,,600.0,610.0,600.0,10.0,235.0,0.0,235.0,220.0,220.0,0.0,35.0,0.0,35.0,160.0,160.0,0.0,80.0,0.0,80.0,140.0,140.0,0.0,65.0,0.0,65.0,90.0,80.0,10.0,55.0,0.0,55.0
3000,6,,600.0,610.0,600.0,10.0,235.0,0.0,235.0,220.0,220.0,0.0,35.0,0.0,35.0,160.0,160.0,0.0,80.0,0.0,80.0,140.0,140.0,0.0,65.0,0.0,65.0,90.0,80.0,10.0,55.0,0.0,55.0
3060,6,,600.0,610.0,600.0,10.0,235.0,0.0,235.0,220.0,220.0,0.0,35.0,0.0,35.0,160.0,160.0,0.0,80.0,0.0,80.0,140.0,140.0,0.0,65.0,0.0,65.0,90.0,80.0,10.0,55.0,0.0,55.0
3120,6,,600.0,610.0,600.0,10.0,235.0,0.0,235.0,220.0,220.0,0.0,35.0,0.0,35.0,160.0,160.0,0.0,80.0,0.0,80.0,140.0,140.0,0.0,65.0,0.0,65.0,90.0,80.0,10.0,55.0,0.0,55.0
3180,6,,600.0,610.0,600.0,10.0,235.0,0.0,235.0,220.0,220.0,0.0,35.0,0.0,35.0,160.0,160.0,0.0,80.0,0.0,80.0,140.0,140.0,0.0,65.0,0.0,65.0,90.0,80.0,10.0,55.0,0.0,55.0
3240,6,,600.0,610.0,600.0,10.0,235.0,0.0,235.0,220.0,220.0,0.0,35.0,0.0,35.0,160.0,160.0,0.0,80.0,0.0,80.0,140.0,140.0,0.0,65.0,0.0,65.0,90.0,80.0,10.0,55.0,0.0,55.0
3300,6,,600.0,610.0,600.0,10.0,235.0,0.0,235.0,220.0,220.0,0.0,35.0,0.0,35.0,160.0,160.0,0.0,80.0,0.0,80.0,140.0,140.0,0.0,65.0,0.0,65.0,90.0,80.0,10.0,55.0,0.0,55.0
3360,6,,600.0,610.0,600.0,10.0,235.0,0.0,235.0,220.0,220.0,0.0,35.0,0.0,35.0,160.0,160.0,0.0,80.0,0.0,80.0,140.0,140.0,0.0,65.0,0.0,65.0,90.0,80.0,10.0,55.0,0.0,55.0
3420,6,,600.0,610.0,600.0,10.0,235.0,0.0,235.0,220.0,220.0,0.0,35.0,0.0,35.0,160.0,160.0,0.0,80.0,0.0,80.0,140.0,140.0,0.0,65.0,0.0,65.0,90.0,80.0,10.0,55.0,0.0,55.0
3480,6,,600.0,610.0,600.0,10.0,235.0,0.0,235.0,220.0,220.0,0.0,35.0,0.0,35.0,160.0,160.0,0.0,80.0,0.0,80.0,140.0,140.0,0.0,65.0,0.0,65.0,90.0,80.0,10.0,55.0,0.0,55.0
3540,6,,600.0,610.0,600.0,10.0,235.0,0.0,235.0,220.0,220.0,0.0,35.0,0.0,35.0,160.0,160.0,0.0,80.0,0.0,80.0,140.0,140.0,0.0,65.0,0.0,65.0,90.0,80.0,10.0,55.0,0.0,55.0
3600,7,,600.0,730.0,600.0,130.0,235.0,0.0,235.0,242.00000000000003,242.00000000000003,0.0,35.0,0.0,35.0,200.0,169.0,31.0,80.0,0.0,80.0,189.0,189.0,0.0,65.0,0.0,65.0,99.00000000000001,0.0,99.00000000000001,55.0,0.0,55.0
3660,7,,600.0,730.0,600.0,130.0,235.0,0.0,235.0,242.00000000000003,242.00000000000003,0.0,35.0,0.0,35.0,200.0,169.0,31.0,80.0,0.0,80.0,189.0,189.0,0.0,65.0,0.0,65.0,99.00000000000001,0.0,99.00000000000001,55.0,0.0,55.0
3720,7,,600.0,730.0,600.0,130.0,235.0,0.0,235.0,242.00000000000003,242.00000000000003,0.0,35.0,0.0,35.0,200.0,169.0,31.0,80.0,0.0,80.0,189.0,189.0,0.0,65.0,0.0,65.0,99.00000000000001,0.0,99.00000000000001,55.0,0.0,55.0
3780,7,,600.0,730.0,600.0,130.0,235.0,0.0,235.0,242.00000000000003,242.00000000000003,0.0,35.0,0.0,35.0,200.0,169.0,31.0,80.0,0.0,80.0,189.0,189.0,0.0,65.0,0.0,65.0,99.00000000000001,0.0,99.00000000000001,55.0,0.0,55.0
3840,7,,600.0,730.0,600.0,130.0,235.0,0.0,235.0,242.00000000000003,242.00000000000003,0.0,35.0,0.0,35.0,200.0,169.0,31.0,80.0,0.0,80.0,189.0,189.0,0.0,65.0,0.0,65.0,99.00000000000001,0.0,99.00000000000001,55.0,0.0,55.0
3900,7,,600.0,730.0,600.0,130.0,235.0,0.0,235.0,242.00000000000003,242.00000000000003,0.0,35.0,0.0,35.0,200.0,169.0,31.0,80.0,0.0,80.0,189.0,189.0,0.0,65.0,0.0,65.0,99.00000000000001,0.0,99.00000000000001,55.0,0.0,55.0
3960,7,,600.0,730.0,600.0,130.0,235.0,0.0,235.0,242.00000000000003,242.00000000000003,0.0,35.0,0.0,35.0,200.0,169.0,31.0,80.0,0.0,80.0,189.0,189.0,0.0,65.0,0.0,65.0,99.00000000000001,0.0,99.00000000000001,55.0,0.0,55.0
4020,7,,600.0,730.0,600.0,130.0,235.0,0.0,235.0,242.00000000000003,242.00000000000003,0.0,35.0,0.0,35.0,200.0,169.0,31.0,80.0,0.0,80.0,189.0,189.0,0.0,65.0,0.0,65.0,99.00000000000001,0.0,99.00000000000001,55.0,0.0,55.0
4080,7,,600.0,730.0,600.0,130.0,235.0,0.0,235.0,242.00000000000003,242.00000000000003,0.0,35.0,0.0,35.0,200.0,169.0,31.0,80.0,0.0,80.0,189.0,189.0,0.0,65.0,0.0,65.0,99.00000000000001,0.0,99.00000000000001,55.0,0.0,55.0
4140,7,,600.0,730.0,600.0,130.0,235.0,0.0,235.0,242.00000000000003,242.00000000000003,0.0,35.0,0.0,35.0,200.0,169.0,31.0,80.0,0.0,80.0,189.0,189.0,0.0,65.0,0.0,65.0,99.00000000000001,0.0,99.00000000000001,55.0,0.0,55.0
4200,7,,600.0,730.0,600.0,130.0,235.0,0.0,235.0,242.00000000000003,242.00000000000003,0.0,35.0,0.0,35.0,200.0,169.0,31.0,80.0,0.0,80.0,189.0,189.0,0.0,65.0,0.0,65.0,99.00000000000001,0.0,99.00000000000001,55.0,0.0,55.0
4260,7,,600.0,730.0,600.0,130.0,235.0,0.0,235.0,242.00000000000003,242.00000000000003,0.0,35.0,0.0,35.0,200.0,169.0,31.0,80.0,0.0,80.0,189.0,189.0,0.0,65.0,0.0,65.0,99.00000000000001,0.0,99.00000000000001,55.0,0.0,55.0
4320,7,,600.0,730.0,600.0,130.0,235.0,0.0,235.0,242.00000000000003,242.00000000000003,0.0,35.0,0.0,35.0,200.0,169.0,31.0,80.0,0.0,80.0,189.0,189.0,0.0,65.0,0.0,65.0,99.00000000000001,0.0,99.00000000000001,55.0,0.0,55.0
4380,7,,600.0,730.0,600.0,130.0,235.0,0.0,235.0,242.00000000000003,242.00000000000003,0.0,35.0,0.0,35.0,200.0,169.0,31.0,80.0,0.0,80.0,189.0,189.0,0.0,65.0,0.0,65.0,99.00000000000001,0.0,99.00000000000001,55.0,0.0,55.0
4440,7,,600.0,730.0,600.0,130.0,235.0,0.0,235.0,242.00000000000003,242.00000000000003,0.0,35.0,0.0,35.0,200.0,169.0,31.0,80.0,0.0,80.0,189.0,189.0,0.0,65.0,0.0,65.0,99.00000000000001,0.0,99.00000000000001,55.0,0.0,55.0
4500,7,,600.0,730.0,600.0,130.0,235.0,0.0,235.0,242.00000000000003,242.00000000000003,0.0,35.0,0.0,35.0,200.0,169.0,31.0,80.0,0.0,80.0,189.0,189.0,0.0,65.0,0.0,65.0,99.00000000000001,0.0,99.00000000000001,55.0,0.0,55.0
4560,7,,600.0,730.0,600.0,130.0,235.0,0.0,235.0,242.00000000000003,242.00000000000003,0.0,35.0,0.0,35.0,200.0,169.0,31.0,80.0,0.0,80.0,189.0,189.0,0.0,65.0,0.0,65.0,99.00000000000001,0.0,99.00000000000001,55.0,0.0,55.0
4620,7,,600.0,730.0,600.0,130.0,235.0,0.0,235.0,242.00000000000003,242.00000000000003,0.0,35.0,0.0,35.0,200.0,169.0,31.0,80.0,0.0,80.0,189.0,189.0,0.0,65.0,0.0,65.0,99.00000000000001,0.0,99.00000000000001,55.0,0.0,55.0
4680,7,,600.0,730.0,600.0,130.0,235.0,0.0,235.0,242.00000000000003,242.00000000000003,0.0,35.0,0.0,35.0,200.0,169.0,31.0,80.0,0.0,80.0,189.0,189.0,0.0,65.0,0.0,65.0,99.00000000000001,0.0,99.00000000000001,55.0,0.0,55.0
4740,7,,600.0,730.0,600.0,130.0,235.0,0.0,235.0,242.00000000000003,242.00000000000003,0.0,35.0,0.0,35.0,200.0,169.0,31.0,80.0,0.0,80.0,189.0,189.0,0.0,65.0,0.0,65.0,99.00000000000001,0.0,99.00000000000001,55.0,0.0,55.0
4800,7,,600.0,730.0,600.0,130.0,235.0,0.0,235.0,242.00000000000003,242.00000000000003,0.0,35.0,0.0,35.0,200.0,169.0,31.0,80.0,0.0,80.0,189.0,189.0,0.0,65.0,0.0,65.0,99.00000000000001,0.0,99.00000000000001,55.0,0.0,55.0
4860,7,,600.0,730.0,600.0,130.0,235.0,0.0,235.0,242.00000000000003,242.00000000000003,0.0,35.0,0.0,35.0,200.0,169.0,31.0,80.0,0.0,80.0,189.0,189.0,0.0,65.0,0.0,65.0,99.00000000000001,0.0,99.00000000000001,55.0,0.0,55.0
4920,7,,600.0,730.0,600.0,130.0,235.0,0.0,235.0,242.00000000000003,242.00000000000003,0.0,35.0,0.0,35.0,200.0,169.0,31.0,80.0,0.0,80.0,189.0,189.0,0.0,65.0,0.0,65.0,99.00000000000001,0.0,99.00000000000001,55.0,0.0,55.0
4980,7,,600.0,730.0,600.0,130.0,235.0,0.0,235.0,242.00000000000003,242.00000000000003,0.0,35.0,0.0,35.0,200.0,169.0,31.0,80.0,0.0,80.0,189.0,189.0,0.0,65.0,0.0,65.0,99.00000000000001,0.0,99.00000000000001,55.0,0.0,55.0
5040,7,,600.0,730.0,600.0,130.0,235.0,0.0,235.0,242.00000000000003,242.00000000000003,0.0,35.0,0.0,35.0,200.0,169.0,31.0,80.0,0.0,80.0,189.0,189.0,0.0,65.0,0.0,65.0,99.00000000000001,0.0,99.00000000000001,55.0,0.0,55.0
5100,7,,600.0,730.0,600.0,130.0,235.0,0.0,235.0,242.00000000000003,242.00000000000003,0.0,35.0,0.0,35.0,200.0,169.0,31.0,80.0,0.0,80.0,189.0,189.0,0.0,65.0,0.0,65.0,99.00000000000001,0.0,99.00000000000001,55.0,0.0,55.0
5160,7,,600.0,730.0,600.0,130.0,235.0,0.0,235.0,242.00000000000003,242.00000000000003,0.0,35.0,0.0,35.0,200.0,169.0,31.0,80.0,0.0,80.0,189.0,189.0,0.0,65.0,0.0,65.0,99.00000000000001,0.0,99.00000000000001,55.0,0.0,55.0
5220,7,,600.0,730.0,600.0,130.0,235.0,0.0,235.0,242.00000000000003,242.00000000000003,0.0,35.0,0.0,35.0,200.0,169.0,31.0,80.0,0.0,80.0,189.0,189.0,0.0,65.0,0.0,65.0,99.00000000000001,0.0,99.00000000000001,55.0,0.0,55.0
5280,7,,600.0,730.0,600.0,130.0,235.0,0.0,235.0,242.00000000000003,242.00000000000003,0.0,35.0,0.0,35.0,200.0,169.0,31.0,80.0,0.0,80.0,189.0,189.0,0.0,65.0,0.0,65.0,99.00000000000001,0.0,99.00000000000001,55.0,0.0,55.0
5340,7,,600.0,730.0,600.0,130.0,235.0,0.0,235.0,242.00000000000003,242.00000000000003,0.0,35.0,0.0,35.0,200.0,169.0,31.0,80.0,0.0,80.0,189.0,189.0,0.0,65.0,0.0,65.0,99.00000000000001,0.0,99.00000000000001,55.0,0.0,55.0
5400,7,,600.0,730.0,600.0,130.0,235.0,0.0,235.0,242.00000000000003,242.00000000000003,0.0,35.0,0.0,35.0,200.0,169.0,31.0,80.0,0.0,80.0,189.0,189.0,0.0,65.0,0.0,65.0,99.00000000000001,0.0,99.00000000000001,55.0,0.0,55.0
5460,7,,600.0,730.0,600.0,130.0,235.0,0.0,235.0,242.00000000000003,242.00000000000003,0.0,35.0,0.0,35.0,200.0,169.0,31.0,80.0,0.0,80.0,189.0,189.0,0.0,65.0,0.0,65.0,99.00000000000001,0.0,99.00000000000001,55.0,0.0,55.0
5520,7,,600.0,730.0,600.0,130.0,235.0,0.0,235.0,242.00000000000003,242.00000000000003,0.0,35.0,0.0,35.0,200.0,169.0,31.0,80.0,0.0,80.0,189.0,189.0,0.0,65.0,0.0,65.0,99.00000000000001,0.0,99.00000000000001,55.0,0.0,55.0
5580,7,,600.0,730.0,600.0,130.0,235.0,0.0,235.0,242.00000000000003,242.00000000000003,0.0,35.0,0.0,35.0,200.0,169.0,31.0,80.0,0.0,80.0,189.0,189.0,0.0,65.0,0.0,65.0,99.00000000000001,0.0,99.00000000000001,55.0,0.0,55.0
5640,7,,600.0,730.0,600.0,130.0,235.0,0.0,235.0,242.00000000000003,242.00000000000003,0.0,35.0,0.0,35.0,200.0,169.0,31.0,80.0,0.0,80.0,189.0,189.0,0.0,65.0,0.0,65.0,99.00000000000001,0.0,99.00000000000001,55.0,0.0,55.0
5700,7,,600.0,730.0,600.0,130.0,235.0,0.0,235.0,242.00000000000003,242.00000000000003,0.0,35.0,0.0,35.0,200.0,169.0,31.0,80.0,0.0,80.0,189.0,189.0,0.0,65.0,0.0,65.0,99.00000000000001,0.0,99.00000000000001,55.0,0.0,55.0
5760,7,,600.0,730.0,600.0,130.0,235.0,0.0,235.0,242.00000000000003,242.00000000000003,0.0,35.0,0.0,35.0,200.0,169.0,31.0,80.0,0.0,80.0,189.0,189.0,0.0,65.0,0.0,65.0,99.00000000000001,0.0,99.00000000000001,55.0,0.0,55.0
